Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Kris Dunn,30.0,LAC,PG,7.0,6.0,21.9,2.4,6.3,0.386,1.4,4.0,0.357,1.0,2.3,0.438,0.5,0.0,0.0,,1.4,2.0,3.4,1.3,1.1,0.6,0.1,2.6,6.3
Zach Edey,22.0,MEM,C,4.0,4.0,27.0,2.5,3.8,0.667,0.0,0.0,,2.5,3.8,0.667,0.667,1.3,1.8,0.714,2.8,5.0,7.8,1.8,0.0,2.5,1.5,3.0,6.3
Dorian Finney-Smith,31.0,LAL,PF,5.0,1.0,34.0,2.4,5.8,0.414,1.4,3.8,0.368,1.0,2.0,0.5,0.534,0.0,0.0,,2.0,2.2,4.2,2.6,0.2,0.4,1.0,3.4,6.2
Alec Burks,33.0,MIA,SG,1.0,1.0,15.0,2.0,3.0,0.667,2.0,3.0,0.667,0.0,0.0,,1.0,0.0,0.0,,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,6.0
Mike Conley,37.0,MIN,PG,15.0,15.0,23.7,1.9,6.4,0.302,1.3,4.0,0.333,0.6,2.4,0.25,0.406,0.8,0.9,0.923,0.8,2.1,2.9,3.3,0.6,0.2,0.8,1.4,6.0
Jett Howard,21.0,ORL,SF,1.0,0.0,4.0,2.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0,,1.5,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0
Jaylon Tyson,22.0,CLE,SG,4.0,0.0,7.8,1.8,3.8,0.467,1.3,2.3,0.556,0.5,1.5,0.333,0.633,1.3,1.5,0.833,0.8,1.0,1.8,1.8,0.5,0.3,0.5,1.0,6.0
Aaron Wiggins,26.0,OKC,SG,22.0,0.0,13.8,2.1,5.4,0.395,1.1,3.1,0.362,1.0,2.3,0.44,0.5,0.6,0.8,0.765,0.6,1.6,2.3,0.9,0.5,0.3,0.8,1.0,6.0
Kyle Kuzma,29.0,MIL,PF,5.0,4.0,20.4,2.4,7.0,0.343,0.4,2.0,0.2,2.0,5.0,0.4,0.371,0.6,1.2,0.5,0.6,1.6,2.2,0.8,0.0,0.2,0.6,2.4,5.8
Miles McBride,24.0,NYK,SG,18.0,0.0,18.9,1.9,5.0,0.378,1.2,3.3,0.373,0.7,1.7,0.387,0.5,0.8,0.9,0.824,0.2,1.0,1.2,1.0,0.4,0.1,0.6,1.2,5.8
Sam Merrill,28.0,CLE,SG,8.0,3.0,19.9,1.9,5.0,0.375,1.8,4.9,0.359,0.1,0.1,1.0,0.55,0.3,0.4,0.667,0.9,1.6,2.5,1.8,0.5,0.3,0.3,2.3,5.8
Steven Adams,31.0,HOU,C,7.0,0.0,22.1,1.7,2.9,0.6,0.0,0.0,,1.7,2.9,0.6,0.6,2.3,4.3,0.533,3.3,3.3,6.6,0.6,0.4,1.1,0.7,1.0,5.7
