Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Justin Edwards,22.0,PHI,SF,9.0,0.0,12.1,1.2,3.6,0.344,0.4,2.0,0.222,0.8,1.6,0.5,0.406,0.4,0.8,0.571,0.7,1.6,2.2,0.4,0.0,0.1,0.7,1.7,3.3
Jake LaRavia,24.0,LAL,PF,8.0,0.0,14.3,1.1,3.4,0.333,0.3,0.9,0.286,0.9,2.5,0.35,0.37,0.8,0.8,1.0,1.1,1.0,2.1,0.8,0.5,0.8,1.4,2.0,3.3
Joan Beringer,19.0,MIN,PF,5.0,0.0,4.6,1.0,1.8,0.556,0.0,0.0,,1.0,1.8,0.556,0.556,1.2,1.6,0.75,1.0,1.2,2.2,0.0,0.4,0.4,0.6,0.0,3.2
Kenrich Williams,31.0,OKC,PF,11.0,0.0,6.5,1.1,2.8,0.387,0.5,1.7,0.316,0.5,1.1,0.5,0.484,0.4,0.4,1.0,0.5,1.3,1.8,0.5,0.1,0.0,0.2,0.6,3.1
Tyus Jones,29.0,DEN,PG,3.0,0.0,10.0,1.3,2.7,0.5,0.0,0.3,0.0,1.3,2.3,0.571,0.5,0.3,0.7,0.5,0.0,0.0,0.0,1.7,0.7,0.0,0.0,1.0,3.0
Julian Strawther,23.0,DEN,SG,2.0,0.0,9.0,1.0,3.5,0.286,0.5,1.5,0.333,0.5,2.0,0.25,0.357,0.5,1.0,0.5,0.5,1.0,1.5,0.0,0.0,0.0,1.0,1.0,3.0
Dominick Barlow,22.0,PHI,PF,9.0,0.0,10.7,1.1,1.9,0.588,0.0,0.1,0.0,1.1,1.8,0.625,0.588,0.7,0.8,0.857,0.7,1.0,1.7,0.1,0.2,0.4,0.2,1.0,2.9
Pacôme Dadiet,20.0,NYK,SG,7.0,0.0,5.7,1.1,2.3,0.5,0.4,1.1,0.375,0.7,1.1,0.625,0.594,0.1,0.3,0.5,0.3,0.7,1.0,0.4,0.3,0.0,0.3,0.1,2.9
Jarred Vanderbilt,26.0,LAL,PF,7.0,0.0,10.7,1.3,3.1,0.409,0.1,1.3,0.111,1.1,1.9,0.615,0.432,0.1,0.4,0.333,0.7,2.7,3.4,0.3,0.3,0.0,0.1,1.7,2.9
Trendon Watford,25.0,PHI,PF,7.0,0.0,5.7,1.0,1.6,0.636,0.0,0.1,0.0,1.0,1.4,0.7,0.636,0.9,1.1,0.75,0.0,0.4,0.4,0.4,0.4,0.0,0.3,0.3,2.9
Goga Bitadze,26.0,ORL,C,6.0,0.0,13.8,1.0,2.5,0.4,0.0,0.0,,1.0,2.5,0.4,0.4,0.8,1.2,0.714,2.2,1.8,4.0,0.3,0.3,1.7,0.7,2.3,2.8
Tony Bradley,28.0,ATL,C,4.0,0.0,10.3,0.8,1.0,0.75,0.3,0.3,1.0,0.5,0.8,0.667,0.875,1.0,1.5,0.667,0.3,2.5,2.8,0.8,0.5,0.8,0.3,1.8,2.8
Sidy Cissoko,21.0,POR,SF,4.0,0.0,6.5,1.0,2.5,0.4,0.5,1.3,0.4,0.5,1.3,0.4,0.5,0.3,0.3,1.0,0.5,0.8,1.3,0.3,1.0,0.0,0.3,1.0,2.8
Kelly Olynyk,34.0,SAS,C,9.0,0.0,3.9,0.9,1.7,0.533,0.6,0.9,0.625,0.3,0.8,0.429,0.7,0.4,0.8,0.571,0.0,0.8,0.8,0.3,0.4,0.0,0.4,0.3,2.8
Jonas Valančiūnas,33.0,DEN,C,4.0,0.0,6.3,1.3,1.8,0.714,0.0,0.0,,1.3,1.8,0.714,0.714,0.3,0.5,0.5,0.8,1.5,2.3,0.3,0.0,0.3,1.3,2.8,2.8
